date,close
2018-02-27,93.77
2018-02-28,92.85
2018-03-01,93.05
2018-03-04,93.64
2018-03-05,93.32
2018-03-06,93.86
2018-03-07,94.43
2018-03-08,96.54
2018-03-11,96.77
2018-03-12,94.41
2018-03-13,93.85
2018-03-14,94.18
2018-03-15,94.6
2018-03-18,92.89
2018-03-19,93.13
2018-03-20,92.48
2018-03-21,89.79
2018-03-22,87.18
2018-03-25,93.78
2018-03-26,89.47
2018-03-27,89.39
2018-03-28,91.27
2018-04-01,88.52
2018-04-02,89.71
2018-04-03,92.33
2018-04-04,92.38
2018-04-05,90.23
2018-04-08,90.77
2018-04-09,92.88
2018-04-10,91.86
2018-04-11,93.58
2018-04-12,93.08
2018-04-15,94.17
2018-04-16,96.07
2018-04-17,96.44
2018-04-18,96.11
2018-04-19,95.0
2018-04-22,95.35
2018-04-23,93.12
2018-04-24,92.31
2018-04-25,94.26
2018-04-26,95.82
2018-04-29,93.52
2018-04-30,95.0
2018-05-01,93.51
2018-05-02,94.07
2018-05-03,95.16
2018-05-06,96.22
2018-05-07,95.81
2018-05-08,96.94
2018-05-09,97.91
2018-05-10,97.7
2018-05-13,98.03
2018-05-14,97.32
2018-05-15,97.15
2018-05-16,96.18
2018-05-17,96.36
2018-05-20,97.6
2018-05-21,97.5
2018-05-22,98.66
2018-05-23,98.31
2018-05-24,98.36
2018-05-28,98.01
2018-05-29,98.95
2018-05-30,98.84
2018-05-31,100.79
2018-06-03,101.67
2018-06-04,102.19
2018-06-05,102.49
2018-06-06,100.88
2018-06-07,101.63
2018-06-10,101.05
2018-06-11,101.31
2018-06-12,100.85
2018-06-13,101.42
2018-06-14,100.13
2018-06-17,100.86
2018-06-18,100.86
2018-06-19,101.87
2018-06-20,101.14
2018-06-21,100.41
2018-06-24,98.39
2018-06-25,99.08
2018-06-26,97.54
2018-06-27,98.63
2018-06-28,98.61
2018-07-01,100.01
2018-07-02,99.05
2018-07-04,99.76
2018-07-05,101.16
2018-07-08,101.85
2018-07-09,102.12
2018-07-10,101.98
2018-07-11,104.19
2018-07-12,105.43
2018-07-15,104.91
2018-07-16,105.95
2018-07-17,105.12
2018-07-18,104.4
2018-07-19,106.27
2018-07-22,107.97
2018-07-23,107.66
2018-07-24,110.83
2018-07-25,109.62
2018-07-26,107.68
2018-07-29,105.37
2018-07-30,106.08
2018-07-31,106.28
2018-08-01,107.57
2018-08-02,108.04
2018-08-05,108.13
2018-08-06,108.88
2018-08-07,109.49
2018-08-08,109.67
2018-08-09,109.0
2018-08-12,108.21
2018-08-13,109.56
2018-08-14,107.66
2018-08-15,107.64
2018-08-16,107.58
2018-08-19,106.87
2018-08-20,105.98
2018-08-21,107.06
2018-08-22,107.56
2018-08-23,108.4
2018-08-26,109.6
2018-08-27,110.26
2018-08-28,112.02
2018-08-29,111.95
2018-08-30,112.33
2018-09-03,111.71
2018-09-04,108.49
2018-09-05,108.74
2018-09-06,108.21
2018-09-09,109.38
2018-09-10,111.24
2018-09-11,111.71
2018-09-12,112.91
2018-09-13,113.37
2018-09-16,112.14
2018-09-17,113.21
2018-09-18,111.7
2018-09-19,113.57
2018-09-20,114.26
2018-09-23,114.67
2018-09-24,114.45
2018-09-25,113.98
2018-09-26,114.41
2018-09-27,114.37
2018-09-30,115.61
2018-10-01,115.15
2018-10-02,115.17
2018-10-03,112.79
2018-10-04,112.13
2018-10-07,110.85
2018-10-08,112.26
2018-10-09,106.16
2018-10-10,105.91
2018-10-11,109.57
2018-10-14,107.6
2018-10-15,111.0
2018-10-16,110.71
2018-10-17,108.5
2018-10-18,108.66
2018-10-21,109.63
2018-10-22,108.1
2018-10-23,102.32
2018-10-24,108.3
2018-10-25,106.96
2018-10-28,103.85
2018-10-29,103.73
2018-10-30,106.81
2018-10-31,105.92
2018-11-01,106.16
2018-11-04,107.51
2018-11-05,107.72
2018-11-06,111.96
2018-11-07,111.75
2018-11-08,109.57
2018-11-11,106.87
2018-11-12,106.94
2018-11-13,104.97
2018-11-14,107.28
2018-11-15,108.29
2018-11-18,104.62
2018-11-19,101.71
2018-11-20,103.11
2018-11-22,103.07
2018-11-25,106.47
2018-11-26,107.14
2018-11-27,111.12
2018-11-28,110.19
2018-11-29,110.89
2018-12-02,112.09
2018-12-03,108.52
2018-12-05,109.19
2018-12-06,104.82
2018-12-09,107.59
2018-12-10,108.59
2018-12-11,109.08
2018-12-12,109.45
2018-12-13,106.03
2018-12-16,102.89
2018-12-17,103.97
2018-12-18,103.69
2018-12-19,101.51
2018-12-20,98.23
2018-12-23,94.13
2018-12-25,100.56
2018-12-26,101.18
2018-12-27,100.39
2018-12-30,101.57
2019-01-01,101.12
2019-01-02,97.4
2019-01-03,101.93
2019-01-06,102.06
2019-01-07,102.8
2019-01-08,104.27
2019-01-09,103.6
2019-01-10,102.8
2019-01-13,102.05
2019-01-14,105.01
2019-01-15,105.38
2019-01-16,106.12
2019-01-17,107.71
2019-01-21,105.68
2019-01-22,106.71
2019-01-23,106.2
2019-01-24,107.17
2019-01-27,105.08
2019-01-28,102.94
2019-01-29,106.38
2019-01-30,104.43
2019-01-31,102.78
2019-02-03,105.74
2019-02-04,107.22
2019-02-05,106.03
2019-02-06,105.27
2019-02-07,105.67
2019-02-10,105.25
2019-02-11,106.89
2019-02-12,106.81
2019-02-13,106.9
2019-02-14,108.22
2019-02-18,108.17
2019-02-19,107.15
2019-02-20,109.41
2019-02-21,110.97
2019-02-24,111.59
2019-02-25,112.36
2019-02-26,112.17
2019-02-27,112.03
2019-02-28,112.53
2019-03-03,112.26
2019-03-04,111.7
2019-03-05,111.75
2019-03-06,110.39
2019-03-07,110.51
2019-03-10,112.83
2019-03-11,113.62
2019-03-12,114.5
2019-03-13,114.59
2019-03-14,115.91
2019-03-17,117.57
2019-03-18,117.65
2019-03-19,117.52
2019-03-20,120.22
2019-03-21,117.05
2019-03-24,117.66
2019-03-25,117.91
2019-03-26,116.77
2019-03-27,116.93
2019-03-28,117.94
2019-03-31,119.02
2019-04-01,119.19
2019-04-02,119.97
2019-04-03,119.36
2019-04-04,119.89
2019-04-07,119.93
2019-04-08,119.28
2019-04-09,120.19
2019-04-10,120.33
2019-04-11,120.95
2019-04-14,121.05
2019-04-15,120.77
2019-04-16,121.77
2019-04-17,123.37
2019-04-21,123.76
2019-04-22,125.44
2019-04-23,125.01
2019-04-24,129.15
2019-04-25,129.89
2019-04-28,129.77
2019-04-29,130.6
2019-04-30,127.88
2019-05-01,126.21
2019-05-02,128.9
2019-05-05,128.15
2019-05-06,125.52
2019-05-07,125.51
2019-05-08,125.5
2019-05-09,127.13
2019-05-12,123.35
2019-05-13,124.73
2019-05-14,126.02
2019-05-15,128.93
2019-05-16,128.07
2019-05-19,126.22
2019-05-20,126.9
2019-05-21,127.67
2019-05-22,126.18
2019-05-23,126.24
2019-05-27,126.16
2019-05-28,124.94
2019-05-29,125.73
2019-05-30,123.68
2019-06-02,119.84
2019-06-03,123.16
2019-06-04,125.83
2019-06-05,127.82
2019-06-06,131.4
2019-06-09,132.6
2019-06-10,132.1
2019-06-11,131.49
2019-06-12,132.32
2019-06-13,132.45
2019-06-16,132.85
2019-06-17,135.16
2019-06-18,135.69
2019-06-19,136.95
2019-06-20,136.97
2019-06-23,137.78
2019-06-24,133.43
2019-06-25,133.93
2019-06-26,134.15
2019-06-27,133.96
2019-06-30,135.68
2019-07-01,136.58
2019-07-02,137.46
2019-07-04,137.06
2019-07-07,136.96
2019-07-08,136.46
2019-07-09,137.85
2019-07-10,138.4
2019-07-11,138.9
